100 50
1 1 H
1 2 N
1 3 T
1 4 N
1 5 H
1 6 B
1 7 N
1 8 T
1 9 N
1 10 T
1 11 N
1 12 B
1 13 N
1 14 N
1 15 N
1 16 N
1 17 N
1 18 N
1 19 N
1 20 N
1 21 T
1 22 T
1 23 T
1 24 N
1 25 N
1 26 N
1 27 H
1 28 T
1 29 B
1 30 N
1 31 T
1 32 N
1 33 N
1 34 H
1 35 N
1 36 B
1 37 H
1 38 H
1 39 N
1 40 N
1 41 N
1 42 T
1 43 N
1 44 N
1 45 N
1 46 N
1 47 H
1 48 H
1 49 H
1 50 N
2 1 N
2 2 N
2 3 T
2 4 H
2 5 B
2 6 N
2 7 H
2 8 N
2 9 B
2 10 B
2 11 N
2 12 H
2 13 T
2 14 N
2 15 N
2 16 T
2 17 N
2 18 N
2 19 T
2 20 B
2 21 N
2 22 N
2 23 T
2 24 T
2 25 T
2 26 N
2 27 N
2 28 N
2 29 N
2 30 T
2 31 N
2 32 B
2 33 H
2 34 T
2 35 N
2 36 N
2 37 N
2 38 H
2 39 N
2 40 N
2 41 T
2 42 H
2 43 H
2 44 N
2 45 N
2 46 H
2 47 H
2 48 B
2 49 N
2 50 T
3 1 T
3 2 T
3 3 H
3 4 N
3 5 H
3 6 N
3 7 B
3 8 B
3 9 N
3 10 B
3 11 H
3 12 T
3 13 N
3 14 H
3 15 B
3 16 N
3 17 N
3 18 N
3 19 N
3 20 N
3 21 N
3 22 H
3 23 T
3 24 B
3 25 T
3 26 T
3 27 N
3 28 N
3 29 B
3 30 N
3 31 B
3 32 T
3 33 N
3 34 N
3 35 N
3 36 H
3 37 N
3 38 T
3 39 H
3 40 N
3 41 N
3 42 H
3 43 T
3 44 B
3 45 T
3 46 N
3 47 H
3 48 T
3 49 N
3 50 T
4 1 T
4 2 N
4 3 N
4 4 N
4 5 B
4 6 T
4 7 N
4 8 N
4 9 N
4 10 N
4 11 T
4 12 H
4 13 N
4 14 B
4 15 N
4 16 B
4 17 H
4 18 N
4 19 T
4 20 N
4 21 N
4 22 T
4 23 H
4 24 T
4 25 T
4 26 N
4 27 N
4 28 H
4 29 N
4 30 N
4 31 N
4 32 N
4 33 T
4 34 N
4 35 T
4 36 N
4 37 N
4 38 N
4 39 T
4 40 N
4 41 N
4 42 N
4 43 N
4 44 H
4 45 T
4 46 T
4 47 N
4 48 T
4 49 T
4 50 N
5 1 T
5 2 H
5 3 T
5 4 N
5 5 H
5 6 N
5 7 T
5 8 B
5 9 H
5 10 T
5 11 N
5 12 N
5 13 N
5 14 H
5 15 H
5 16 N
5 17 H
5 18 N
5 19 N
5 20 N
5 21 N
5 22 B
5 23 N
5 24 N
5 25 N
5 26 T
5 27 N
5 28 N
5 29 H
5 30 B
5 31 H
5 32 N
5 33 N
5 34 N
5 35 N
5 36 N
5 37 N
5 38 N
5 39 T
5 40 H
5 41 N
5 42 H
5 43 N
5 44 H
5 45 H
5 46 T
5 47 B
5 48 N
5 49 N
5 50 N
6 1 N
6 2 N
6 3 T
6 4 T
6 5 H
6 6 T
6 7 T
6 8 B
6 9 H
6 10 T
6 11 N
6 12 N
6 13 H
6 14 B
6 15 T
6 16 N
6 17 N
6 18 H
6 19 N
6 20 T
6 21 N
6 22 N
6 23 N
6 24 N
6 25 N
6 26 T
6 27 N
6 28 T
6 29 T
6 30 H
6 31 H
6 32 N
6 33 N
6 34 H
6 35 B
6 36 N
6 37 N
6 38 T
6 39 T
6 40 T
6 41 N
6 42 H
6 43 N
6 44 T
6 45 T
6 46 N
6 47 N
6 48 H
6 49 N
6 50 N
7 1 N
7 2 B
7 3 H
7 4 T
7 5 N
7 6 H
7 7 N
7 8 N
7 9 H
7 10 N
7 11 N
7 12 H
7 13 H
7 14 H
7 15 N
7 16 N
7 17 H
7 18 N
7 19 N
7 20 N
7 21 H
7 22 T
7 23 H
7 24 N
7 25 H
7 26 H
7 27 H
7 28 T
7 29 B
7 30 T
7 31 N
7 32 N
7 33 N
7 34 N
7 35 N
7 36 N
7 37 T
7 38 N
7 39 N
7 40 N
7 41 T
7 42 B
7 43 N
7 44 H
7 45 H
7 46 T
7 47 T
7 48 T
7 49 T
7 50 N
8 1 H
8 2 H
8 3 N
8 4 H
8 5 N
8 6 N
8 7 B
8 8 H
8 9 N
8 10 N
8 11 T
8 12 N
8 13 H
8 14 N
8 15 T
8 16 H
8 17 N
8 18 T
8 19 N
8 20 H
8 21 N
8 22 N
8 23 B
8 24 N
8 25 N
8 26 N
8 27 H
8 28 N
8 29 N
8 30 N
8 31 N
8 32 N
8 33 T
8 34 B
8 35 N
8 36 H
8 37 H
8 38 N
8 39 N
8 40 H
8 41 T
8 42 N
8 43 H
8 44 N
8 45 N
8 46 H
8 47 T
8 48 B
8 49 N
8 50 T
9 1 N
9 2 H
9 3 H
9 4 N
9 5 N
9 6 H
9 7 N
9 8 N
9 9 N
9 10 N
9 11 B
9 12 N
9 13 H
9 14 N
9 15 H
9 16 N
9 17 T
9 18 B
9 19 H
9 20 N
9 21 N
9 22 H
9 23 H
9 24 T
9 25 T
9 26 T
9 27 N
9 28 N
9 29 T
9 30 H
9 31 H
9 32 N
9 33 N
9 34 T
9 35 H
9 36 N
9 37 N
9 38 N
9 39 N
9 40 T
9 41 H
9 42 H
9 43 T
9 44 N
9 45 H
9 46 N
9 47 H
9 48 N
9 49 N
9 50 B
10 1 N
10 2 N
10 3 N
10 4 N
10 5 T
10 6 T
10 7 N
10 8 N
10 9 N
10 10 N
10 11 H
10 12 T
10 13 T
10 14 H
10 15 N
10 16 N
10 17 H
