100 50
73 33
1 1 N
1 2 N
1 3 T
1 4 T
1 5 T
1 6 T
1 7 H
1 8 T
1 9 H
1 10 T
1 11 N
1 12 H
1 13 N
1 14 B
1 15 B
1 16 N
1 17 H
1 18 H
1 19 N
1 20 T
1 21 N
1 22 B
1 23 T
1 24 B
1 25 H
1 26 N
1 27 N
1 28 N
1 29 T
1 30 T
1 31 B
1 32 N
1 33 H
1 34 N
1 35 H
1 36 N
1 37 H
1 38 N
1 39 B
1 40 B
1 41 N
1 42 B
1 43 T
1 44 N
1 45 H
1 46 T
1 47 N
1 48 T
1 49 N
1 50 T
2 1 N
2 2 T
2 3 T
2 4 H
2 5 N
2 6 B
2 7 N
2 8 T
2 9 N
2 10 H
2 11 B
2 12 N
2 13 H
2 14 H
2 15 B
2 16 N
2 17 N
2 18 H
2 19 N
2 20 N
2 21 T
2 22 T
2 23 N
2 24 N
2 25 H
2 26 N
2 27 T
2 28 T
2 29 N
2 30 N
2 31 T
2 32 N
2 33 T
2 34 T
2 35 N
2 36 H
2 37 N
2 38 N
2 39 H
2 40 T
2 41 N
2 42 N
2 43 B
2 44 N
2 45 N
2 46 B
2 47 T
2 48 N
2 49 N
2 50 H
3 1 T
3 2 T
3 3 N
3 4 N
3 5 N
3 6 N
3 7 T
3 8 H
3 9 N
3 10 N
3 11 T
3 12 N
3 13 N
3 14 N
3 15 B
3 16 N
3 17 N
3 18 N
3 19 H
3 20 N
3 21 N
3 22 N
3 23 H
3 24 T
3 25 N
3 26 N
3 27 N
3 28 N
3 29 T
3 30 H
3 31 N
3 32 N
3 33 H
3 34 T
3 35 N
3 36 T
3 37 N
3 38 B
3 39 H
3 40 N
3 41 H
3 42 B
3 43 N
3 44 B
3 45 N
3 46 H
3 47 H
3 48 N
3 49 N
3 50 B
4 1 B
4 2 H
4 3 T
4 4 T
4 5 N
4 6 N
4 7 T
4 8 T
4 9 N
4 10 N
4 11 T
4 12 N
4 13 N
4 14 N
4 15 N
4 16 B
4 17 T
4 18 N
4 19 H
4 20 N
4 21 T
4 22 T
4 23 N
4 24 N
4 25 N
4 26 N
4 27 B
4 28 N
4 29 T
4 30 N
4 31 T
4 32 H
4 33 N
4 34 T
4 35 H
4 36 N
4 37 N
4 38 N
4 39 H
4 40 T
4 41 N
4 42 N
4 43 B
4 44 H
4 45 H
4 46 T
4 47 H
4 48 N
4 49 T
4 50 N
5 1 N
5 2 T
5 3 T
5 4 N
5 5 N
5 6 B
5 7 N
5 8 H
5 9 N
5 10 N
5 11 N
5 12 N
5 13 N
5 14 T
5 15 N
5 16 N
5 17 T
5 18 B
5 19 H
5 20 N
5 21 B
5 22 H
5 23 T
5 24 H
5 25 H
5 26 B
5 27 H
5 28 N
5 29 H
5 30 H
5 31 B
5 32 B
5 33 T
5 34 H
5 35 N
5 36 T
5 37 H
5 38 N
5 39 N
5 40 N
5 41 N
5 42 N
5 43 N
5 44 H
5 45 T
5 46 N
5 47 N
5 48 B
5 49 B
5 50 N
6 1 T
6 2 T
6 3 N
6 4 B
6 5 N
6 6 N
6 7 N
6 8 N
6 9 B
6 10 N
6 11 T
6 12 T
6 13 N
6 14 H
6 15 T
6 16 N
6 17 N
6 18 B
6 19 T
6 20 H
6 21 N
6 22 T
6 23 H
6 24 N
6 25 T
6 26 H
6 27 B
6 28 N
6 29 N
6 30 N
6 31 H
6 32 N
6 33 H
6 34 N
6 35 T
6 36 N
6 37 H
6 38 T
6 39 T
6 40 B
6 41 N
6 42 N
6 43 N
6 44 T
6 45 N
6 46 T
6 47 H
6 48 N
6 49 N
6 50 T
7 1 T
7 2 N
7 3 N
7 4 H
7 5 H
7 6 H
7 7 N
7 8 N
7 9 T
7 10 B
7 11 H
7 12 N
7 13 N
7 14 B
7 15 H
7 16 T
7 17 T
7 18 N
7 19 B
7 20 T
7 21 H
7 22 H
7 23 N
7 24 N
7 25 N
7 26 N
7 27 T
7 28 H
7 29 T
7 30 N
7 31 N
7 32 N
7 33 H
7 34 N
7 35 H
7 36 H
7 37 T
7 38 N
7 39 H
7 40 H
7 41 H
7 42 T
7 43 N
7 44 H
7 45 T
7 46 N
7 47 N
7 48 H
7 49 N
7 50 N
8 1 N
8 2 T
8 3 H
8 4 H
8 5 N
8 6 H
8 7 T
8 8 B
8 9 T
8 10 H
8 11 T
8 12 N
8 13 N
8 14 H
8 15 H
8 16 T
8 17 N
8 18 T
8 19 T
8 20 N
8 21 T
8 22 N
8 23 N
8 24 N
8 25 N
8 26 N
8 27 B
8 28 N
8 29 T
8 30 N
8 31 N
8 32 N
8 33 H
8 34 N
8 35 N
8 36 N
8 37 T
8 38 H
8 39 N
8 40 T
8 41 H
8 42 H
8 43 N
8 44 N
8 45 N
8 46 N
8 47 T
8 48 T
8 49 N
8 50 T
9 1 T
9 2 N
9 3 H
9 4 B
9 5 B
9 6 N
9 7 B
9 8 N
9 9 H
9 10 N
9 11 T
9 12 N
9 13 N
9 14 B
9 15 T
9 16 T
9 17 T
9 18 N
9 19 N
9 20 N
9 21 N
9 22 H
9 23 N
9 24 H
9 25 N
9 26 H
9 27 H
9 28 T
9 29 N
9 30 H
9 31 B
9 32 H
9 33 T
9 34 N
9 35 N
9 36 N
9 37 H
9 38 B
9 39 N
9 40 N
9 41 N
9 42 N
9 43 N
9 44 T
9 45 N
9 46 N
9 47 N
9 48 N
9 49 N
9 50 N
10 1 T
10 2 N
10 3 N
10 4 N
10 5 N
10 6 N
10 7 H
10 8 H
10 9 H
10 10 H
10 11 T
10 12 N
10 13 T
10 14 N
10 15 N
10 16 H
10 17 T
10 18 N
10 19 T
10 20 N
10 21 B
10 22 N
10 23 N
10 24 N
10 25 T
10 26 B
10 27 N
10 28 N
10 29 H
10 30 N
10 31 N
10 32 N
10 33 N
10 34 T
10 35 N
10 36 N
10 37 N
10 38 H
10 39 T
10 40 N
10 41 N
10 42 N
10 43 N
10 44 N
10 45 N
10 46 T
10 47 N
10 48 N
10 49 N
10 50 N
11 1 N
11 2 H
11 3 N
11 4 N
11 5 H
11 6 H
11 7 T
11 8 T
11 9 T
11 10 N
11 11 N
11 12 N
11 13 N
11 14 H
11 15 N
11 16 N
11 17 T
11 18 N
11 19 N
11 20 B
11 21 N
11 22 T
11 23 H
11 24 B
11 25 H
11 26 B
11 27 N
11 28 H
11 29 H
11 30 N
11 31 T
11 32 N
11 33 N
11 34 B
11 35 T
11 36 B
11 37 N
11 38 T
11 39 B
11 40 T
11 41 N
11 42 N
11 43 N
11 44 N
11 45 N
11 46 N
11 47 N
11 48 N
11 49 N
11 50 H
12 1 N
12 2 H
12 3 N
12 4 H
12 5 N
12 6 N
12 7 T
12 8 N
12 9 N
12 10 N
12 11 H
12 12 N
12 13 T
12 14 T
12 15 N
12 16 N
12 17 H
12 18 N
12 19 N
12 20 N
12 21 H
12 22 N
12 23 N
12 24 H
12 25 H
12 26 N
12 27 T
12 28 N
12 29 H
12 30 H
12 31 H
12 32 N
12 33 N
12 34 N
12 35 N
12 36 N
12 37 N
12 38 N
12 39 T
12 40 H
12 41 T
12 42 H
12 43 N
12 44 B
12 45 N
12 46 B
12 47 T
12 48 H
12 49 N
12 50 H
13 1 T
13 2 N
13 3 T
13 4 T
13 5 N
13 6 N
13 7 T
13 8 N
13 9 N
13 10 N
13 11 N
13 12 N
13 13 N
13 14 N
13 15 T
13 16 N
13 17 B
13 18 N
13 19 N
13 20 N
13 21 H
13 22 B
13 23 N
13 24 N
13 25 N
13 26 N
13 27 N
13 28 T
13 29 N
13 30 N
13 31 H
13 32 N
13 33 T
13 34 T
13 35 N
13 36 T
13 37 T
13 38 T
13 39 B
13 40 H
13 41 N
13 42 H
13 43 H
13 44 H
13 45 H
13 46 N
13 47 H
13 48 B
13 49 N
13 50 H
14 1 N
14 2 T
14 3 N
14 4 T
14 5 N
14 6 N
14 7 B
14 8 H
14 9 T
14 10 T
14 11 N
14 12 N
14 13 H
14 14 N
14 15 H
14 16 N
14 17 T
14 18 B
14 19 H
14 20 H
14 21 H
14 22 H
14 23 B
14 24 B
14 25 N
14 26 N
14 27 N
14 28 N
14 29 N
14 30 N
14 31 T
14 32 N
14 33 B
14 34 H
14 35 N
14 36 N
14 37 T
14 38 H
14 39 N
14 40 N
14 41 B
14 42 N
14 43 N
14 44 N
14 45 N
14 46 N
14 47 T
14 48 N
14 49 N
14 50 N
15 1 N
15 2 N
15 3 N
15 4 N
15 5 T
15 6 T
15 7 N
15 8 T
15 9 T
15 10 N
15 11 N
15 12 B
15 13 B
15 14 H
15 15 N
15 16 H
15 17 N
15 18 T
15 19 N
15 20 B
15 21 B
15 22 N
15 23 N
15 24 N
15 25 H
15 26 B
15 27 N
15 28 N
15 29 T
15 30 N
15 31 N
15 32 N
15 33 B
15 34 N
15 35 T
15 36 N
15 37 H
15 38 N
15 39 N
15 40 T
15 41 T
15 42 T
15 43 T
15 44 T
15 45 B
15 46 H
15 47 T
15 48 N
15 49 N
15 50 H
16 1 T
16 2 N
16 3 B
16 4 N
16 5 N
16 6 N
16 7 N
16 8 N
16 9 H
16 10 H
16 11 H
16 12 N
16 13 N
16 14 N
16 15 H
16 16 T
16 17 B
16 18 N
16 19 N
16 20 N
16 21 B
16 22 T
16 23 N
16 24 N
16 25 H
16 26 N
16 27 N
16 28 B
16 29 T
16 30 H
16 31 N
16 32 T
16 33 T
16 34 T
16 35 B
16 36 H
16 37 T
16 38 H
16 39 H
16 40 T
16 41 N
16 42 N
16 43 N
16 44 T
16 45 B
16 46 H
16 47 N
16 48 N
16 49 T
16 50 N
17 1 N
17 2 N
17 3 T
17 4 N
17 5 N
17 6 T
17 7 H
17 8 N
17 9 B
17 10 B
17 11 H
17 12 H
17 13 N
17 14 N
17 15 N
17 16 N
17 17 T
17 18 N
17 19 N
17 20 T
17 21 H
17 22 H
17 23 B
17 24 B
17 25 N
17 26 N
17 27 N
17 28 N
17 29 H
17 30 H
17 31 T
17 32 N
17 33 B
17 34 H
17 35 N
17 36 N
17 37 N
17 38 N
17 39 T
17 40 N
17 41 T
17 42 N
17 43 H
17 44 H
17 45 T
17 46 T
17 47 N
17 48 H
17 49 N
17 50 H
18 1 B
18 2 B
18 3 N
18 4 B
18 5 N
18 6 N
18 7 N
18 8 N
18 9 N
18 10 N
18 11 T
18 12 T
18 13 H
18 14 T
