100 50
1 1 B
1 2 N
1 3 N
1 4 T
1 5 N
1 6 H
1 7 N
1 8 T
1 9 H
1 10 N
1 11 H
1 12 N
1 13 N
1 14 N
1 15 B
1 16 H
1 17 N
1 18 N
1 19 B
1 20 B
1 21 H
1 22 N
1 23 N
1 24 N
1 25 N
1 26 T
1 27 N
1 28 N
1 29 H
1 30 N
1 31 N
1 32 N
1 33 N
1 34 B
1 35 H
1 36 B
1 37 N
1 38 N
1 39 B
1 40 N
1 41 H
1 42 B
1 43 T
1 44 N
1 45 N
1 46 N
1 47 N
1 48 N
1 49 N
1 50 H
2 1 T
2 2 N
2 3 T
2 4 B
2 5 T
2 6 N
2 7 N
2 8 T
2 9 N
2 10 N
2 11 N
2 12 T
2 13 H
2 14 H
2 15 N
2 16 H
2 17 N
2 18 T
2 19 H
2 20 T
2 21 N
2 22 N
2 23 N
2 24 T
2 25 N
2 26 N
2 27 H
2 28 N
2 29 N
2 30 H
2 31 T
2 32 T
2 33 T
2 34 B
2 35 N
2 36 T
2 37 N
2 38 N
2 39 N
2 40 N
2 41 N
2 42 N
2 43 N
2 44 N
2 45 H
2 46 T
2 47 N
2 48 N
2 49 T
2 50 N
3 1 T
3 2 N
3 3 H
3 4 H
3 5 B
3 6 H
3 7 T
3 8 B
3 9 B
3 10 N
3 11 T
3 12 T
3 13 N
3 14 N
3 15 T
3 16 N
3 17 N
3 18 N
3 19 N
3 20 T
3 21 N
3 22 H
3 23 H
3 24 N
3 25 T
3 26 N
3 27 N
3 28 T
3 29 N
3 30 T
3 31 N
3 32 T
3 33 N
3 34 H
3 35 T
3 36 T
3 37 H
3 38 B
3 39 N
3 40 T
3 41 H
3 42 N
3 43 N
3 44 N
3 45 N
3 46 H
3 47 N
3 48 H
3 49 T
3 50 T
4 1 B
4 2 N
4 3 B
4 4 N
4 5 T
4 6 B
4 7 H
4 8 N
4 9 N
4 10 T
4 11 N
4 12 H
4 13 H
4 14 H
4 15 N
4 16 N
4 17 B
4 18 N
4 19 N
4 20 T
4 21 N
4 22 N
4 23 N
4 24 H
4 25 N
4 26 N
4 27 T
4 28 H
4 29 N
4 30 H
4 31 H
4 32 H
4 33 N
4 34 N
4 35 B
4 36 N
4 37 B
4 38 B
4 39 H
4 40 T
4 41 N
4 42 T
4 43 N
4 44 B
4 45 N
4 46 B
4 47 N
4 48 B
4 49 H
4 50 N
5 1 N
5 2 T
5 3 N
5 4 H
5 5 H
5 6 N
5 7 N
5 8 T
5 9 H
5 10 N
5 11 H
5 12 N
5 13 B
5 14 H
5 15 N
5 16 T
5 17 H
5 18 N
5 19 N
5 20 N
5 21 N
5 22 T
5 23 B
5 24 N
5 25 N
5 26 B
5 27 N
5 28 N
5 29 H
5 30 N
5 31 N
